id,Name,titleProject_id,class,score,login,password
143 , Законнова Жанна Евгеньевна , 442 , 11и , None , Законнова_ЖЕ , uonhLwWC
144 , Перчихин Аркадий Тимофеевич , 164 , 10т , 3 , Перчихин_АТ , orUKa0md
145 , Бурдасова Ксения Игоревна , 203 , 9а , 3 , Бурдасова_КИ , qGVFvFOC
146 , Киссин Степан Иванович , 251 , 7х , 5 , Киссин_СИ , s15Gprgn
147 , Вапилина Мария Егоровна , 77 , 7д , 2 , Вапилина_МЕ , rQ1k4ec3
148 , Сигутина Дарья Федоровна , 458 , 7б , 2 , Сигутина_ДФ , QxFRskGB
149 , Сошьяков Альберт Фёдорович , 17 , 7т , 4 , Сошьяков_АФ , U4YfiDbP
150 , Лугахина Клара Вадимовна , 419 , 8в , 4 , Лугахина_КВ , uPPB5jGf
151 , Логецкий Анатолий Виталиевич , 372 , 11б , 4 , Логецкий_АВ , XjpeSY5Q
152 , Ковайкова Юлия Егоровна , 75 , 10г , 2 , Ковайкова_ЮЕ , X6DmKjuF
153 , Вермутский Валерий Петрович , 447 , 9и , 5 , Вермутский_ВП , lUEbvqfK
154 , Россомахов Олег Юриевич , 56 , 8в , 2 , Россомахов_ОЮ , xZTfoD4J
155 , Циплакова Екатерина Егоровна , 471 , 9б , 5 , Циплакова_ЕЕ , pxT3p8hy
156 , Квятцева Алла Никитична , 138 , 11в , 2 , Квятцева_АН , 26xX8rOB
157 , Выхухолева Лариса Василевна , 384 , 8б , 5 , Выхухолева_ЛВ , ECEqlrGu
158 , Целохов Андрей Вадимович , 433 , 8и , 5 , Целохов_АВ , Kkn8U0yV
159 , Бендин Иван Яковлевич , 71 , 8и , 4 , Бендин_ИЯ , ZoAMmI23
160 , Лазученков Василий Алексеевич , 381 , 7х , 2 , Лазученков_ВА , r0TqIYAO
161 , Скоропухов Михаил Василиевич , 69 , 10и , 3 , Скоропухов_МВ , AYj7GzJq
162 , Мухонкин Тарас Романович , 126 , 9и , 4 , Мухонкин_ТР , IDh2Xe5C
163 , Камерцев Владимир Кириллович , 303 , 7а , 3 , Камерцев_ВК , fAvK1As5
164 , Сандрыкина Анна Олеговна , 324 , 10т , 2 , Сандрыкина_АО , E9fdXAPS
165 , Недбайлов Алексей Денисович , 15 , 7т , 2 , Недбайлов_АД , kppJjbPO
166 , Серпков Ярослав Георгиевич , 380 , 10б , 4 , Серпков_ЯГ , jRPd0Uxl
167 , Хатшуклов Аркадий Николаевич , 42 , 11т , 4 , Хатшуклов_АН , HWxY85yn
168 , Литвалиева Алиса Егоровна , 10 , 11и , 3 , Литвалиева_АЕ , qU42OxLf
169 , Енесина Лиза Валерьевна , 293 , 9б , 5 , Енесина_ЛВ , xTMgBzlI
170 , Пикальков Эдуард Алексиевич , 21 , 8д , 5 , Пикальков_ЭА , sg7MlsqQ
171 , Сачинский Валентин Кириллович , 125 , 10т , 2 , Сачинский_ВК , g4lZp9Lz
172 , Тарзанова Евгения Аркадьевна , 96 , 9д , 2 , Тарзанова_ЕА , K4c74cpm
173 , Лапундин Юрий Игоревич , 267 , 8и , 5 , Лапундин_ЮИ , 50hszTXd
174 , Личева Лиза Михайловна , 453 , 9б , 3 , Личева_ЛМ , atjLRpBY
175 , Смароверов Яков Борисович , 131 , 11в , 4 , Смароверов_ЯБ , pZKwBRnr
176 , Вереина Алла Василевна , 295 , 10и , 3 , Вереина_АВ , TdjgPisP
177 , Погиблева Дарья Леонидовна , 283 , 9в , 5 , Погиблева_ДЛ , y4jwN27I
178 , Байнова Анастасия Вадимовна , 363 , 7б , 3 , Байнова_АВ , L7lptaRI
179 , Шиловский Вячеслав Максимович , 438 , 9и , 4 , Шиловский_ВМ , yGJd1TDb
180 , Сыждиков Пётр Василиевич , 494 , 11х , 5 , Сыждиков_ПВ , LvCnfd5K
181 , Каценова Алёна Эдуардовна , 165 , 11т , 2 , Каценова_АЭ , Jj4Rw7jc
182 , Мужицких Ева Олеговна , 348 , 8х , 3 , Мужицких_ЕО , 5Ze1ydDz
183 , Плеснецов Степан Юрьевич , 22 , 10а , 2 , Плеснецов_СЮ , yFPY8aJr
184 , Игумнова Алёна Сергеевна , 114 , 9д , 4 , Игумнова_АС , g2GDsXCD
185 , Хадаров Владимир Валериевич , 278 , 11т , 5 , Хадаров_ВВ , IOzGrMeJ
186 , Ступакова Кира Ивановна , 421 , 8и , 3 , Ступакова_КИ , ahfpGl2z
187 , Шоленинов Федор Максимович , 286 , 11т , 4 , Шоленинов_ФМ , BpI581vZ
188 , Гундаров Руслан Николаевич , 158 , 9д , 4 , Гундаров_РН , NV23Ht4q
189 , Гречишева Марина Андреевна , 464 , 7д , 2 , Гречишева_МА , QqHD2cD4
190 , Утилова Алена Андреевна , 253 , 11д , 3 , Утилова_АА , 3jbnaTZT
191 , Роткичева Алиса Максимовна , 410 , 10а , 4 , Роткичева_АМ , QatVvDsX
192 , Колтышева Марина Вадимовна , 87 , 11г , 4 , Колтышева_МВ , NaCM2ayp
193 , Гурычева Лариса Валерьевна , 489 , 9б , 2 , Гурычева_ЛВ , OKhrebkB
194 , Горцева Кристина Никитична , 246 , 8и , 4 , Горцева_КН , 0RMk2L5K
195 , Кутурин Геннадий Денисович , 197 , 9в , 2 , Кутурин_ГД , swbkgbIY
196 , Стефанков Яков Евгеньевич , 318 , 10г , 3 , Стефанков_ЯЕ , BM4Qslg3
197 , Множина Людмила Василевна , 90 , 8б , 2 , Множина_ЛВ , 8EnKwWsP
198 , Семисалов Георгий Иванович , 316 , 9в , 3 , Семисалов_ГИ , K1J5WJHG
199 , Рогалов Альберт Валериевич , 327 , 9б , 2 , Рогалов_АВ , GcQIuNiZ
200 , Черетаева Анастасия Олеговна , 341 , 9б , 2 , Черетаева_АО , ULkTct3y
201 , Радоминова Любовь Игоревна , 25 , 9и , 5 , Радоминова_ЛИ , cV1OWZXU
202 , Шувырина Лиза Андреевна , 395 , 9а , 5 , Шувырина_ЛА , j78nVPmh
203 , Калиженков Семён Алексеевич , 401 , 11а , 4 , Калиженков_СА , PHsub3Zu
204 , Старокашин Константин Петрович , 309 , 10а , 3 , Старокашин_КП , Rykzc4JA
205 , Малтоцов Аркадий Яковлевич , 218 , 8а , 3 , Малтоцов_АЯ , UBmA9Zis
206 , Кузеванова Ева Егоровна , 116 , 7д , 2 , Кузеванова_ЕЕ , MPo6wFRQ
207 , Нурулина Алёна Егоровна , 284 , 9х , 2 , Нурулина_АЕ , hAwjTBlO
208 , Лератов Герасим Сергеевич , 374 , 10а , 4 , Лератов_ГС , F7lOIVEM
209 , Людин Руслан Аркадиевич , 498 , 7и , 3 , Людин_РА , ydi5xcP6
210 , Пурин Виктор Данилович , 154 , 8и , 5 , Пурин_ВД , mszUam1j
211 , Лютов Виктор Юрьевич , 288 , 11г , 2 , Лютов_ВЮ , fJG235pr
212 , Марюшкина Яна Федоровна , 345 , 10д , 5 , Марюшкина_ЯФ , 5vZt8Smm
213 , Томилова Кристина Михайловна , 492 , 11б , 3 , Томилова_КМ , GsKJl30Q
214 , Дистерев Валерий Валериевич , 24 , 7г , 3 , Дистерев_ВВ , MQu8Ig0G
215 , Дочкин Геннадий Алексиевич , 52 , 11и , 5 , Дочкин_ГА , l0J4nLiL
216 , Иняхин Руслан Сергеевич , 234 , 7и , 5 , Иняхин_РС , Wup22HpI
217 , Знайкова Раиса Егоровна , 148 , 11х , 3 , Знайкова_РЕ , wQtbkp3E
218 , Кашавцев Аркадий Леонидович , 58 , 7а , 4 , Кашавцев_АЛ , RTaWoKih
219 , Пятернина Кристина Андреевна , 445 , 7и , 2 , Пятернина_КА , YXd5BGTv
220 , Гусеева Карина Викторовна , 263 , 9и , 2 , Гусеева_КВ , FzmIFLzj
221 , Кастева Яна Сергеевна , 108 , 7и , 2 , Кастева_ЯС , 8MSsuq2D
222 , Гришанин Тарас Павлович , 113 , 10т , 2 , Гришанин_ТП , 8vclpCQV
223 , Грамоткин Илья Викторович , 195 , 8д , 5 , Грамоткин_ИВ , d4mhXrsJ
224 , Мелисин Геннадий Василиевич , 465 , 10г , 2 , Мелисин_ГВ , BtM73K74
225 , Цинина Светлана Яковлевна , 105 , 11г , 5 , Цинина_СЯ , rVim1HAF
226 , Петов Георгий Адамович , 57 , 9а , 2 , Петов_ГА , 8fBUbNbT
227 , Реева Валентина Максимовна , 146 , 11и , 5 , Реева_ВМ , hZIENEIF
228 , Слесивых Мария Аркадьевна , 35 , 7и , 5 , Слесивых_МА , y5LrnvzX
229 , Афтаева Полина Ивановна , 193 , 10д , 5 , Афтаева_ПИ , Uamiqaj8
230 , Кривицкий Валентин Виталиевич , 208 , 8х , 5 , Кривицкий_ВВ , YJdtOkgf
231 , Чубатов Константин Леонидович , 279 , 11а , 4 , Чубатов_КЛ , ucrhgEXw
232 , Партенков Геннадий Павлович , 418 , 8х , 3 , Партенков_ГП , ucEcbSB2
233 , Черушев Григорий Борисович , 84 , 7г , 4 , Черушев_ГБ , nzfpDwoW
234 , Тютекин Георгий Тимофеевич , 262 , 7а , 2 , Тютекин_ГТ , eXA3La2F
235 , Янкевский Вячеслав Адамович , 167 , 11г , 4 , Янкевский_ВА , 5ozmJPoI
236 , Сухручкина Клавдия Аркадьевна , 177 , 7в , 4 , Сухручкина_КА , bf0uDfNL
237 , Конофалова Клара Петровна , 95 , 11д , 5 , Конофалова_КП , Iqegz7iH
238 , Лигасов Михаил Павлович , 491 , 11г , 4 , Лигасов_МП , DfizPVdA
239 , Писарьков Альберт Игоревич , 313 , 8в , 4 , Писарьков_АИ , 5LxG5oAN
240 , Варов Кирилл Иванович , 28 , 8а , 5 , Варов_КИ , wVItk3os
241 , Пурынов Евгений Петрович , 244 , 9и , 3 , Пурынов_ЕП , nx0xjbME
242 , Супрутская Вероника Викторовна , 187 , 9а , 2 , Супрутская_ВВ , tHBOOwPy
243 , Скроцкая Алина Федоровна , 127 , 8г , 3 , Скроцкая_АФ , GUFBaWnd
244 , Барадулин Вадим Юрьевич , 281 , 11х , 3 , Барадулин_ВЮ , Vb0cV7qR
245 , Точилин Дмитрий Фёдорович , 476 , 8а , 2 , Точилин_ДФ , 62pHz5cA
246 , Бикмуллин Руслан Валериевич , 333 , 11т , 2 , Бикмуллин_РВ , emUky8nb
247 , Серпичев Василий Алексиевич , 394 , 10х , 5 , Серпичев_ВА , KwajClBp
248 , Вострышев Яков Аркадиевич , 343 , 8г , 5 , Вострышев_ЯА , TGCANPiT
249 , Грушчева София Евгеньевна , 480 , 11в , None , Грушчева_СЕ , TJcBW6z4
250 , Кулапов Александр Юрьевич , 109 , 9б , 5 , Кулапов_АЮ , osnspLcM
251 , Чибисенков Владислав Фёдорович , 375 , 8х , 3 , Чибисенков_ВФ , OFmGbApX
252 , Утилов Роман Василиевич , 254 , 9х , 2 , Утилов_РВ , WyEXJF0J
253 , Татаурова Галина Федоровна , 145 , 10т , 4 , Татаурова_ГФ , wcYQGWax
254 , Визавитина Наталия Леонидовна , 101 , 10г , 2 , Визавитина_НЛ , lOv0nXd5
255 , Мягченков Артём Денисович , 115 , 7б , 4 , Мягченков_АД , LxBAtccS
256 , Брикова Инна Богдановна , 256 , 9б , 4 , Брикова_ИБ , YXLyHn8y
257 , Наторкин Валентин Данилович , 319 , 7и , 2 , Наторкин_ВД , ni5g9eJM
258 , Эштрекова Софья Алексеевна , 76 , 9в , 3 , Эштрекова_СА , 3MZbvrbO
259 , Кутаманова Кира Андреевна , 182 , 10т , 2 , Кутаманова_КА , y6Gasvfr
260 , Кыштымова Евгения Эдуардовна , 255 , 8в , 5 , Кыштымова_ЕЭ , 9FGVdYMo
261 , Ккнязева Клавдия Дмитриевна , 34 , 7б , 5 , Ккнязева_КД , ZEAIjNOs
262 , Глаголина Алиса Никитична , 249 , 9д , 2 , Глаголина_АН , pS4C3OE5
263 , Рисина Раиса Валерьевна , 451 , 10а , 4 , Рисина_РВ , YfkztQwP
264 , Ребров Алексей Георгиевич , 289 , 8и , 3 , Ребров_АГ , 0vsshYOl
265 , Вырысалова Александра Евгеньевна , 39 , 11и , 2 , Вырысалова_АЕ , Gmfv6Dtn
266 , Гомольский Владимир Юриевич , 314 , 11х , 5 , Гомольский_ВЮ , QWiHXDAL
267 , Швинова Марина Федоровна , 271 , 8г , 5 , Швинова_МФ , AgJYtiZ9
268 , Рудковская Инна Дмитриевна , 6 , 7т , 3 , Рудковская_ИД , C51FPFBt
269 , Решеткина Дарья Василевна , 408 , 10и , 3 , Решеткина_ДВ , us7IUmFN
270 , Евстихеев Игорь Василиевич , 422 , 10х , 5 , Евстихеев_ИВ , BLU8K3RB
271 , Лазарина Алёна Федоровна , 161 , 8б , 3 , Лазарина_АФ , lzbsMcS6
272 , Гляченков Григорий Николаевич , 431 , 10а , 5 , Гляченков_ГН , wBiqgISb
273 , Чардынцева Алина Вадимовна , 135 , 10д , 3 , Чардынцева_АВ , n1DJcXjz
274 , Скаредов Яков Иванович , 337 , 9т , 5 , Скаредов_ЯИ , acBPvGRE
275 , Юрицкий Эдуард Денисович , 192 , 7д , 3 , Юрицкий_ЭД , 0v60pZbw
276 , Кравчина Светлана Аркадьевна , 413 , 11г , 5 , Кравчина_СА , Y4Q5a67x
277 , Чмареткова Полина Вадимовна , 449 , 10а , 2 , Чмареткова_ПВ , ExpsphVU
278 , Углова Галина Романовна , 260 , 9г , 3 , Углова_ГР , StCsxeYW
279 , Згуровская Виктория Андреевна , 220 , 9т , 4 , Згуровская_ВА , HqSiL1hB
280 , Секерский Станислав Сергеевич , 235 , 10а , 4 , Секерский_СС , 6Un7qT3k
281 , Жевайкин Евгений Адамович , 86 , 11г , 3 , Жевайкин_ЕА , 5tH4LQc8
282 , Коточигов Семён Игоревич , 26 , 9д , 5 , Коточигов_СИ , XX73BARz
